,,vehicle_type_code1,,,,Vehicle_types,if it contains
Sedan,,26298,,,,car,"sedan, wagon, utility, conv, limo, vehicle"
Station Wagon/Sport Utility Vehicle,,20693,,,,truck,"tru, tr"
Taxi,,2218,,,,two-wheel,"sco, motor, cycle, bike, moped"
Pick-up Truck,,1563,,,,van,"van, del"
Box Truck,,1179,,,,emergency,"amb, fire, fir, ance"
Bus,,738,,,,bus,bus
Tractor Truck Diesel,,507,,,,taxi,"taxi, cab"
Bike,,464,,,,other,… everything else
Motorcycle,,417,,,,,
Van,,318,,,,,
Ambulance,,216,,,,,
Convertible,,176,,,,,
Dump,,176,,,,,
Flat Bed,,133,,,,,
PK,,118,,,,,
Garbage or Refuse,,116,,,,,
Carry All,,92,,,,,
E-Scooter,,89,,,,,
Tractor Truck Gasoline,,67,,,,,
E-Bike,,59,,,,,
Tow Truck / Wrecker,,56,,,,,
Moped,,49,,,,,
Chassis Cab,,48,,,,,
4 dr sedan,,45,,,,,
Motorbike,,32,,,,,
Motorscooter,,30,,,,,
AMBULANCE,,29,,,,,
Tanker,,29,,,,,
Concrete Mixer,,26,,,,,
E-Sco,,25,,,,,
Refrigerated Van,,20,,,,,
PASSENGER VEHICLE,,20,,,,,
Lift Boom,,17,,,,,
Armored Truck,,15,,,,,
Beverage Truck,,15,,,,,
3-Door,,14,,,,,
Flat Rack,,14,,,,,
E-Bik,,13,,,,,
AMBUL,,9,,,,,
LIMO,,9,,,,,
ambulance,,9,,,,,
Stake or Rack,,9,,,,,
FIRE TRUCK,,9,,,,,
van,,9,,,,,
FIRE,,8,,,,,
SPORT UTILITY / STATION WAGON,,7,,,,,
MOPED,,7,,,,,
TRUCK,,7,,,,,
DELV,,6,,,,,
School Bus,,5,,,,,
2 dr sedan,,5,,,,,
Tow Truck,,5,,,,,
TRAILER,,4,,,,,
Fire,,4,,,,,
Bulk Agriculture,,4,,,,,
TRACT,,4,,,,,
BOX TRUCK,,4,,,,,
Trail,,4,,,,,
UTIL,,4,,,,,
Open Body,,4,,,,,
USPS,,4,,,,,
TRAIL,,4,,,,,
Ambul,,3,,,,,
Minibike,,3,,,,,
PICK UP,,3,,,,,
Multi-Wheeled Vehicle,,3,,,,,
UNK,,3,,,,,
Delv,,2,,,,,
trail,,2,,,,,
ambu,,2,,,,,
TRAC,,2,,,,,
PICKU,,2,,,,,
fire truck,,2,,,,,
Minicycle,,2,,,,,
UNKNOWN,,2,,,,,
FIRE ENGIN,,2,,,,,
AMBU,,2,,,,,
truck,,2,,,,,
Trailer,,2,,,,,
SCOOT,,2,,,,,
FIRETRUCK,,2,,,,,
TRK,,2,,,,,
PAS,,2,,,,,
FDNY TRUCK,,2,,,,,
DELIV,,2,,,,,
Pickup with mounted Camper,,2,,,,,
UT,,2,,,,,
POSTAL TRU,,2,,,,,
FLATBED,,2,,,,,
FDNY FIRE,,2,,,,,
moped,,2,,,,,
POWER SHOV,,2,,,,,
POSTA,,2,,,,,
DUMP,,2,,,,,
UNKNO,,2,,,,,
Van Camper,,2,,,,,
bus,,2,,,,,
APPOR,,1,,,,,
BTM,,1,,,,,
LTR,,1,,,,,
USPS/GOVT,,1,,,,,
PC,,1,,,,,
BoxTr,,1,,,,,
CHEVROLET,,1,,,,,
VAN T,,1,,,,,
UPS TRUCK,,1,,,,,
PICK UP TR,,1,,,,,
Box t,,1,,,,,
OTHER,,1,,,,,
GARBAGE TR,,1,,,,,
back,,1,,,,,
ambul,,1,,,,,
pc,,1,,,,,
1C,,1,,,,,
POWER,,1,,,,,
Cargo Van,,1,,,,,
Work Van,,1,,,,,
deliv,,1,,,,,
e skate bo,,1,,,,,
DELIVERY,,1,,,,,
firet,,1,,,,,
fdny ems,,1,,,,,
PICK-,,1,,,,,
tower,,1,,,,,
COURIER,,1,,,,,
Scooter,,1,,,,,
